ID: 12389 | Title: an innovative approach to improve the performances of the research community
ID: 12391 | Title: job pre-interview system with artificial intelligence
ID: 12392 | Title: one approach to the classification of business knowledge diagrams: practical view
ID: 12397 | Title: towards a context-aware personalized formative assessment in a collaborative online environment
ID: 12399 | Title: semantic formative e-assessment for project management professionals
ID: 12401 | Title: augmenting the knowledge bandwidth and connecting heterogeneous expert communities through uncovering tacit knowledge
ID: 12402 | Title: automatic generation of assessment objects and remedial works for moocs
ID: 12404 | Title: maps4learning: enacting geo-education to enhance student achievement
ID: 12405 | Title: predictive data analysis techniques applied to dropping out of university studies
ID: 12406 | Title: aggregation of engineering and language skills development in the global information environment
ID: 12407 | Title: automated construction of young specialists models with the use of tutoring integrated expert systems
ID: 12408 | Title: correcting open-answer questionnaires through a bayesian-network model of peer-based assessment
ID: 12410 | Title: cisis 2012 keynote
ID: 12411 | Title: designing pedagogical devices
ID: 12413 | Title: skills of engineers in knowledge based economies: a comprehensive literature review, and model development
ID: 12414 | Title: a recommender system as a support and training tool
ID: 12415 | Title: it skills in romania
ID: 12417 | Title: automatic question generation with classification based on mind map
ID: 12418 | Title: constructing a semantic wiki-based teamwork platform for collaborative e-research
ID: 12419 | Title: logical operative processes of semantic grammar for machine interpretation
ID: 12420 | Title: providing knowledge support in business process: a context based approach
ID: 12421 | Title: using tag clouds to support the comparison of qualifications, résumés and job profiles
ID: 12422 | Title: support for collaborative development of a customer solution in railway transport
ID: 12423 | Title: development of integrated information systems to support scientific activity
ID: 12478 | Title: a knowledge representation model for massive open online course platforms
ID: 12506 | Title: durio concept evaluation
ID: 12507 | Title: semantic web technology as a tool for integrating training and job market supply chains
ID: 12518 | Title: an approach for the personalization of exercises based on contextualized attention metadata and semantic web technologies
ID: 12519 | Title: intelligent visual reasoning tutor
ID: 12522 | Title: ensuring semantic annotation and retrieval within pervasive e-learning systems
ID: 12686 | Title: 
ID: 12726 | Title: a study of the impact of task complexity and interface design on e-learning task adaptations
ID: 12737 | Title: towards the development of an adaptive e-learning system with chatbot using personalized e-learning model
ID: 12780 | Title: 
ID: 12792 | Title: software product line to overcome the variability issue in e-learning: systematic literature review
ID: 12854 | Title: topic maps as a tool for facilitating collaborative work pedagogy in knowledge management systems
ID: 12859 | Title: impact of the development of critical thinking skills and academic development of vulnerable students during confinement due to covid-19: impact of the development of critical thinking skills and academic development of vulnerable students
ID: 12860 | Title: feeding a monster or doing good? mining industrial design student feedback at large
ID: 12867 | Title: student profile modeling: an overview model
ID: 12868 | Title: attitude towards the use of mobile devices for the practice of oral skills in english
ID: 12874 | Title: semantic web based software platform for curriculum harmonization
ID: 12882 | Title: staffer: skill training alliance for the future european rail system✱
ID: 12897 | Title: the facets of intangible heritage in southern chinese martial arts: applying a knowledge-driven cultural contact detection approach
ID: 12898 | Title: a context based approach to adapt training strategy for handicraft women from third world countries
ID: 12899 | Title: "multi-national cyber security exercise, case flagship&nbsp;2"
ID: 12901 | Title: apft: active peer-based flip teaching
ID: 12904 | Title: acci 3.0. technique of classification, organization, creation and use of collective knowledge
ID: 12908 | Title: design of a semantic web and osgi based middleware for its development
ID: 12909 | Title: enabling digital craftsmanship capacity building: a digital dalton plan approach
ID: 12910 | Title: interdisciplinary projects in the academic studio
ID: 12912 | Title: lonet: an interactive search network for intelligent lecture path generation
ID: 12913 | Title: web documents structures as source for machine-understandable document
ID: 12919 | Title: what we talk about when we talk about programs
